,time,reffen,awa,aws,sog,rollen,twa,tws,stw,kurs
0,17-07-2022 14:35:17,0.0,132,12.5,6.2,14,147,17.3,6.3,294
1,17-07-2022 14:35:17,0.0,134,12.4,6.2,15,147,17.3,6.3,294
2,17-07-2022 14:35:18,0.0,137,12.1,6.3,14,151,17.5,6.3,295
3,17-07-2022 14:35:19,0.0,133,11.9,6.4,12,151,17.1,6.5,294
4,17-07-2022 14:35:20,0.0,130,12.0,6.4,10,148,17.0,6.6,293
5,17-07-2022 14:35:21,0.0,131,12.2,6.4,10,147,17.1,6.4,290
6,17-07-2022 14:35:22,0.0,132,12.2,6.3,10,148,17.2,6.3,290
7,17-07-2022 14:35:23,0.0,135,12.1,6.3,14,148,17.1,6.1,291
8,17-07-2022 14:35:24,0.0,137,11.9,6.4,15,151,17.0,6.1,293
9,17-07-2022 14:35:25,0.0,135,11.8,6.5,13,151,16.8,6.2,293
10,17-07-2022 14:35:26,0.0,132,11.8,6.5,10,149,16.6,6.4,293
11,17-07-2022 14:35:27,0.0,126,11.9,6.6,10,146,16.6,6.6,293
12,17-07-2022 14:35:28,0.0,125,12.0,6.5,14,143,16.6,6.5,292
13,17-07-2022 14:35:29,0.0,127,11.6,6.5,12,146,16.5,6.5,290
14,17-07-2022 14:35:30,0.0,124,11.4,6.4,8,145,16.1,6.2,288
15,17-07-2022 14:35:31,0.0,122,11.5,6.3,10,141,15.6,6.0,289
16,17-07-2022 14:35:32,0.0,126,11.5,6.5,14,142,15.7,6.0,290
17,17-07-2022 14:35:33,0.0,131,11.3,6.6,15,147,15.9,6.1,290
18,17-07-2022 14:35:34,0.0,131,11.3,6.6,11,148,16.0,6.2,290
19,17-07-2022 14:35:35,0.0,126,11.5,6.5,8,145,15.9,6.3,288
20,17-07-2022 14:35:36,0.0,124,11.8,6.4,9,143,16.2,6.2,287
21,17-07-2022 14:35:37,0.0,127,11.7,6.2,14,144,16.1,5.9,290
22,17-07-2022 14:35:38,0.0,132,11.4,6.1,16,147,16.0,5.9,292
23,17-07-2022 14:35:39,0.0,133,11.1,6.1,15,150,16.0,6.2,293
24,17-07-2022 14:35:40,0.0,130,11.1,6.1,10,148,15.8,6.2,292
25,17-07-2022 14:35:41,0.0,126,11.4,6.2,11,145,16.0,6.4,292
26,17-07-2022 14:35:42,0.0,128,11.8,6.3,14,145,16.4,6.4,293
27,17-07-2022 14:35:43,0.0,130,12.0,6.3,12,147,16.7,6.2,292
28,17-07-2022 14:35:44,0.0,129,12.1,6.2,11,146,16.7,6.1,291
29,17-07-2022 14:35:45,0.0,128,12.3,6.2,12,144,16.7,6.0,291
30,17-07-2022 14:35:46,0.0,129,12.2,6.2,14,146,16.8,6.1,292
31,17-07-2022 14:35:47,0.0,132,12.1,6.3,13,146,16.8,6.0,292
32,17-07-2022 14:35:48,0.0,131,12.0,6.3,11,147,16.6,6.1,293
33,17-07-2022 14:35:49,0.0,129,12.1,6.4,12,147,16.6,6.1,294
34,17-07-2022 14:35:50,0.0,127,12.0,6.4,14,145,16.5,6.2,294
35,17-07-2022 14:35:51,0.0,127,11.9,6.4,14,144,16.5,6.3,293
36,17-07-2022 14:35:52,0.0,128,11.9,6.4,12,145,16.5,6.5,292
37,17-07-2022 14:35:53,0.0,126,12.0,6.3,10,145,16.6,6.4,291
38,17-07-2022 14:35:54,0.0,125,12.1,6.3,13,143,16.6,6.3,292
39,17-07-2022 14:35:55,0.0,128,11.9,6.3,14,144,16.6,6.3,293
40,17-07-2022 14:35:56,0.0,128,11.7,6.4,14,146,16.5,6.7,294
41,17-07-2022 14:35:57,0.0,126,11.8,6.5,14,146,16.6,6.9,293
42,17-07-2022 14:35:58,0.0,124,12.0,6.5,13,145,16.8,6.9,292
43,17-07-2022 14:35:59,0.0,124,12.1,6.6,10,144,16.9,7.0,289
44,17-07-2022 14:36:00,0.0,124,12.2,6.5,10,143,17.0,6.6,289
45,17-07-2022 14:36:01,0.0,128,12.2,6.5,13,144,17.0,6.3,289
46,17-07-2022 14:36:02,0.0,133,12.0,6.4,13,147,17.0,6.3,290
47,17-07-2022 14:36:03,0.0,131,11.7,6.4,13,149,16.8,6.3,293
48,17-07-2022 14:36:04,0.0,131,11.6,6.5,16,147,16.5,6.5,294
49,17-07-2022 14:36:05,0.0,131,11.4,6.6,15,149,16.6,6.7,293
