;tws;twa;stw
0;6;32;3,4
1;6;40;4,1
2;6;50;4,9
3;6;60;5,5
4;6;70;5,7
5;6;80;6
6;6;90;6,4
7;6;100;6,4
8;6;110;6,2
9;6;120;5,9
10;6;130;5,2
11;6;140;4,5
12;6;150;4
13;6;160;3,5
14;6;170;3,3
15;6;180;3
16;8;32;4,2
17;8;40;5,3
18;8;50;6,1
19;8;60;6,6
20;8;70;7
21;8;80;7,4
22;8;90;7,5
23;8;100;7,6
24;8;110;7,5
25;8;120;7,2
26;8;130;6,6
27;8;140;5,8
28;8;150;5
29;8;160;4,5
30;8;170;4,2
31;8;180;4
32;10;32;5
33;10;40;6,2
34;10;50;7,1
35;10;60;7,5
36;10;70;7,7
37;10;80;8
38;10;90;8,4
39;10;100;8,4
40;10;110;8,2
41;10;120;8
42;10;130;7,5
43;10;140;7
44;10;150;6,2
45;10;160;5,6
46;10;170;5
47;10;180;4,7
48;12;32;5,7
49;12;40;6,9
50;12;50;7,6
51;12;60;8,1
52;12;70;8,3
53;12;80;8,5
54;12;90;8,6
55;12;100;8,7
56;12;110;8,6
57;12;120;8,5
58;12;130;8,3
59;12;140;7,7
60;12;150;7,1
61;12;160;6,5
62;12;170;6
63;12;180;5,6
64;14;32;6,2
65;14;40;7,4
66;14;50;8
67;14;60;8,5
68;14;70;8,6
69;14;80;8,7
70;14;90;8,8
71;14;100;9
72;14;110;9
73;14;120;9
74;14;130;8,7
75;14;140;8,4
76;14;150;7,8
77;14;160;7,3
78;14;170;6,8
79;14;180;6,5
80;16;32;6,5
81;16;40;7,5
82;16;50;8,2
83;16;60;8,6
84;16;70;8,8
85;16;80;9
86;16;90;9
87;16;100;9,2
88;16;110;9,4
89;16;120;9,4
90;16;130;9,1
91;16;140;8,7
92;16;150;8,4
93;16;160;8
94;16;170;7,5
95;16;180;7,1
96;20;32;7
97;20;40;7,8
98;20;50;8,5
99;20;60;8,8
100;20;70;9,1
101;20;80;9,3
102;20;90;9,4
103;20;100;9,5
104;20;110;9,7
105;20;120;10
106;20;130;9,8
107;20;140;9,6
108;20;150;9,2
109;20;160;8,8
110;20;170;8,5
111;20;180;8,3
112;25;32;7,2
113;25;40;8
114;25;50;8,6
115;25;60;9
116;25;70;9,3
117;25;80;9,6
118;25;90;9,8
119;25;100;10
120;25;110;10,1
121;25;120;10,5
122;25;130;10,7
123;25;140;10,6
124;25;150;10,2
125;25;160;9,8
126;25;170;9,5
127;25;180;9,2
128;30;32;7,2
129;30;40;8,1
130;30;50;8,7
131;30;60;9,1
132;30;70;9,5
133;30;80;9,8
134;30;90;10
135;30;100;10,2
136;30;110;10,5
137;30;120;11
138;30;130;11,7
139;30;140;12
140;30;150;11,5
141;30;160;11
142;30;170;10,5
143;30;180;10
144;35;32;7,2
145;35;40;8,1
146;35;50;8,8
147;35;60;9,3
148;35;70;9,6
149;35;80;10
150;35;90;10,2
151;35;100;10,4
152;35;110;10,9
153;35;120;11,5
154;35;130;12,4
155;35;140;12,8
156;35;150;12,9
157;35;160;12,5
158;35;170;11,8
159;35;180;11,2
