,time,reffen,awa,aws,sog,rollen,twa,tws,stw,kurs
0,17-07-2022 11:52:37,3.0,48,14.6,3.4,18,63,12.5,4.0,337
1,17-07-2022 11:52:37,3.0,48,14.6,3.4,18,63,12.5,4.0,337
2,17-07-2022 11:52:37,3.0,48,14.5,3.4,18,63,12.5,4.0,337
3,17-07-2022 11:52:38,3.0,48,14.5,3.4,16,63,12.1,4.2,339
4,17-07-2022 11:52:39,3.0,49,14.8,3.8,17,64,12.3,4.4,339
5,17-07-2022 11:52:40,3.0,46,15.0,3.9,18,64,12.4,4.8,340
6,17-07-2022 11:52:41,3.0,45,15.1,4.1,17,61,12.1,4.8,342
7,17-07-2022 11:52:42,3.0,45,15.5,4.3,17,61,12.3,4.9,342
8,17-07-2022 11:52:43,3.0,43,15.7,4.4,17,60,12.6,4.9,342
9,17-07-2022 11:52:44,3.0,41,16.0,4.5,16,57,12.6,5.0,343
10,17-07-2022 11:52:45,3.0,40,16.2,4.6,16,56,12.8,5.1,343
11,17-07-2022 11:52:46,3.0,39,16.3,4.7,17,54,12.8,5.2,342
12,17-07-2022 11:52:47,3.0,39,16.4,4.8,17,54,12.7,5.3,342
13,17-07-2022 11:52:48,3.0,38,16.5,4.8,17,53,12.7,5.5,342
14,17-07-2022 11:52:49,3.0,38,16.6,4.9,18,54,12.7,5.6,342
15,17-07-2022 11:52:50,3.0,39,16.7,4.9,17,54,12.7,5.6,342
16,17-07-2022 11:52:51,3.0,39,16.7,5.0,17,55,12.9,5.6,341
17,17-07-2022 11:52:52,3.0,39,16.8,5.0,18,55,12.8,5.7,341
18,17-07-2022 11:52:53,3.0,39,16.9,5.1,19,56,12.9,5.8,340
19,17-07-2022 11:52:54,3.0,39,16.9,5.2,19,55,12.8,5.9,341
20,17-07-2022 11:52:55,3.0,40,16.9,5.2,17,57,12.9,6.0,341
21,17-07-2022 11:52:56,3.0,41,17.0,5.3,16,59,13.0,6.1,341
22,17-07-2022 11:52:57,3.0,41,17.1,5.3,17,59,13.1,6.1,341
23,17-07-2022 11:52:58,3.0,40,17.1,5.4,17,59,12.9,6.3,341
24,17-07-2022 11:52:59,3.0,40,17.1,5.4,18,58,12.9,6.3,341
25,17-07-2022 11:53:00,3.0,38,17.2,5.5,18,56,12.9,6.3,341
26,17-07-2022 11:53:01,3.0,38,17.3,5.5,18,55,12.8,6.3,340
27,17-07-2022 11:53:02,3.0,39,17.4,5.6,18,56,13.0,6.3,340
28,17-07-2022 11:53:03,3.0,38,17.4,5.6,18,56,13.1,6.3,339
29,17-07-2022 11:53:04,3.0,38,17.4,5.6,17,56,13.0,6.3,339
30,17-07-2022 11:53:05,3.0,38,17.4,5.6,18,57,13.0,6.5,339
31,17-07-2022 11:53:06,3.0,38,17.4,5.7,18,57,13.0,6.6,339
32,17-07-2022 11:53:07,3.0,38,17.0,5.8,16,58,12.4,6.8,338
33,17-07-2022 11:53:08,3.0,40,17.0,5.8,17,60,12.5,6.8,337
34,17-07-2022 11:53:09,3.0,41,17.0,5.9,18,61,12.7,6.6,338
35,17-07-2022 11:53:10,3.0,41,16.9,5.9,17,61,12.7,6.6,338
36,17-07-2022 11:53:11,3.0,43,17.0,5.9,16,63,13.0,6.6,338
37,17-07-2022 11:53:12,3.0,44,17.1,5.9,16,63,13.0,6.6,339
38,17-07-2022 11:53:13,3.0,43,17.1,6.0,16,63,13.2,6.5,339
39,17-07-2022 11:53:14,3.0,43,17.0,6.0,16,63,13.1,6.5,338
40,17-07-2022 11:53:15,3.0,42,16.9,6.0,18,63,13.0,6.5,338
41,17-07-2022 11:53:16,3.0,41,17.0,6.0,19,62,12.9,6.7,337
42,17-07-2022 11:53:17,3.0,40,16.9,6.0,19,61,12.7,6.7,339
43,17-07-2022 11:53:18,3.0,41,17.0,6.1,16,60,12.5,6.7,339
44,17-07-2022 11:53:19,3.0,43,17.1,6.0,16,62,12.8,6.7,338
45,17-07-2022 11:53:20,3.0,42,17.3,6.0,17,64,13.1,6.6,339
46,17-07-2022 11:53:21,3.0,41,17.2,6.1,17,62,13.1,6.6,339
47,17-07-2022 11:53:22,3.0,42,17.2,6.1,17,61,13.0,6.8,338
48,17-07-2022 11:53:23,3.0,43,17.0,6.1,17,63,13.0,6.8,336
49,17-07-2022 11:53:24,3.0,44,16.9,6.1,17,64,12.9,6.9,337
50,17-07-2022 11:53:25,3.0,44,16.8,6.1,18,66,12.8,6.9,336
51,17-07-2022 11:53:26,3.0,43,16.6,6.1,20,67,12.8,6.9,337
52,17-07-2022 11:53:27,3.0,42,16.5,6.3,20,64,12.4,6.9,338
53,17-07-2022 11:53:28,3.0,43,16.5,6.3,21,65,12.4,6.9,339
54,17-07-2022 11:53:29,3.0,41,16.6,6.4,22,65,12.3,7.1,341
55,17-07-2022 11:53:30,3.0,40,16.9,6.4,22,63,12.2,7.2,343
56,17-07-2022 11:53:31,3.0,39,17.1,6.4,21,61,12.3,7.3,344
57,17-07-2022 11:53:32,3.0,39,17.4,6.6,19,61,12.5,7.3,344
58,17-07-2022 11:53:33,3.0,39,17.5,6.6,20,61,12.7,7.3,343
59,17-07-2022 11:53:34,3.0,39,17.5,6.6,21,60,12.7,7.3,342
60,17-07-2022 11:53:35,3.0,39,17.6,6.7,20,60,12.7,7.3,342
61,17-07-2022 11:53:36,3.0,39,17.8,6.7,20,60,12.8,7.4,341
62,17-07-2022 11:53:37,3.0,39,18.0,6.7,22,60,13.0,7.4,341
63,17-07-2022 11:53:38,3.0,39,18.3,6.7,22,59,13.2,7.5,342
